id,statement,scale
436,"Facing a challenge head-on and overcoming it left me feeling triumphant, scoring a solid.",88
437,"Losing track of time while reading a captivating book left me pleasantly distracted, earning an absorbed.",80
438,"A heartfelt compliment from a colleague brightened my day, registering a thankful.",85
439,"Hitting a new personal record at the gym filled me with a sense of accomplishment, reaching a proud.",82
440,"A surprise message from a long-lost friend brought unexpected joy, rating a thrilled.",80
441,"Successfully planting a garden and watching it bloom elevated my happiness to a green-thumbed.",85
442,"A quiet day of relaxation and self-care boosted my spirits to a serene.",88
443,"Witnessing a beautiful sunset by the beach left me in awe and happiness, rating a tranquil.",82
444,"Reconnecting with an old hobby that brought back cherished memories earned a nostalgic.",80
445,"Completing a challenging crossword puzzle provided a satisfying mental workout, scoring an intellectual.",88
446,"A spontaneous road trip with friends lifted my mood to an adventurous.",85
447,"Achieving a long-term goal filled me with a sense of purpose, reaching a fulfilled.",82
448,"Volunteering for a worthy cause left me with a warm altruistic feeling, rating a generous.",80
449,"Trying a new recipe and savoring the delicious outcome brought my happiness to a culinary.",85
450,"A surprise picnic in the park with loved ones made for a delightful day, scoring a joyous.",88
451,"Getting caught in the rain without an umbrella left me feeling soggy and down, rating a drenched.",23
452,"Burning my favorite meal and setting off the smoke alarm brought frustration and disappointment, scoring a cooking mishap.",29
453,"Locked out of my car in the pouring rain, I felt stranded and miserable, earning a stranded.",25
454,"Accidentally dropping and breaking my phone left me with a sense of loss and frustration, reaching a shattered.",34
455,"Forgetting an important appointment and missing out on a crucial opportunity left me feeling regretful, scoring a forgetful.",30
456,"Opening an empty fridge when hungry brought disappointment and hunger, earning an empty.",26
457,"Realizing I left my wallet at home while shopping caused embarrassment and inconvenience, scoring a forgetful shopper.",32
458,"Getting a parking ticket after a stressful day added frustration and annoyance, reaching a ticketed.",28
459,"Discovering a flat tire on my car dampened my plans and mood, earning a flat-tired.",22
460,"Receiving a rejection letter from a job I really wanted brought feelings of failure and disappointment, rating a rejected job applicant.",36
461,"Burning the cookies I was baking for a special occasion left me feeling disappointed and upset, scoring a baking mishap.",33
462,"Missing the last train home and being stranded at the station late at night brought frustration and anxiety, reaching a stranded commuter.",27
463,"Realizing I left my keys in the locked car brought a sinking feeling of helplessness, scoring a locked-out.",24
464,"Tripping and spilling my coffee in front of a crowd made me feel embarrassed and clumsy, earning a coffee mishap.",31
465,"Forgetting important details during a crucial presentation at work left me feeling embarrassed and unprepared, scoring a forgetful presenter.",37
466,"Getting caught in heavy traffic and being late for an important meeting brought stress and frustration, reaching a tardy.",29
467,"Sending a text to the wrong person and realizing it too late left me feeling embarrassed and apologetic, scoring a text mishap.",34
468,"Accidentally deleting important files on my computer brought a sinking feeling of loss and frustration, rating a deleted.",31
469,"Getting caught in a sudden downpour without an umbrella left me soaked and feeling miserable, earning a wet.",26
470,"Receiving disappointing news about a close friend's situation brought a sense of helplessness and sadness, scoring a saddened.",35
471,"Biting into an unripe fruit expecting sweetness brought disappointment and a sour taste, rating an unripe.",30
472,"Realizing I left my phone at home and feeling disconnected throughout the day brought frustration and anxiety, reaching a phone-less.",28
473,"Discovering a flat tire on my bike before an important meeting left me feeling stranded and stressed, earning a flat-tired cyclist.",25
474,"Losing an important document just before a deadline left me feeling stressed and overwhelmed, scoring a document loss.",32
475,"Receiving a rejection email after applying for a dream job brought feelings of disappointment and self-doubt, rating a rejected applicant.",36
476,"Realizing I left my lunch at home and going hungry all day brought frustration and hunger, earning a hungry worker.",29
477,"Spilling coffee on my favorite book and ruining it brought a sense of loss and frustration, reaching a coffee-soaked reader.",27
478,"Forgetting to charge my phone and having it die in the middle of an important call left me feeling frustrated and disconnected, scoring a phone-dead.",23
479,"Receiving a parking ticket for an expired meter brought frustration and annoyance, rating a ticketed driver.",31
480,"Missing a connecting flight and being stranded at the airport brought frustration and anxiety, reaching a stranded traveler.",28
481,"Accidentally sending a sensitive message to the wrong person brought embarrassment and regret, scoring a message mishap.",34
482,"Realizing I left my wallet at a restaurant and having to retrace my steps brought stress and inconvenience, earning a wallet-less diner.",26
483,"Tripping and spilling my lunch in the cafeteria brought embarrassment and hunger, rating a lunch mishap.",30
484,"Getting caught in a long line at the grocery store when in a hurry brought frustration and impatience, reaching a hurried shopper.",27
485,"Forgetting my umbrella on a rainy day and getting drenched brought frustration and discomfort, scoring a wet commuter.",25
486,"Receiving a rejection email after submitting a proposal for a project brought feelings of disappointment and self-doubt, rating a rejected proposer.",36
487,"Realizing I left my keys at work and being locked out of my house brought a sense of helplessness and inconvenience, reaching a locked-out dweller.",24
488,"Losing my way in an unfamiliar city and missing an important appointment brought stress and frustration, earning a lost traveler.",29
489,"Accidentally spilling a drink on my laptop and damaging it brought a sense of loss and frustration, scoring a laptop mishap.",31
490,"Forgetting an essential item for a trip and realizing it only when far from home brought frustration and inconvenience, reaching a forgetful traveler.",28
491,"Getting stuck in an elevator and feeling claustrophobic brought anxiety and frustration, scoring an elevator-trapped.",27
492,"Receiving a rejection letter for a loan application brought disappointment and financial stress, rating a rejected borrower.",35
493,"Realizing I left my lunch at home and having to skip a meal brought frustration and hunger, earning a hungry worker.",30
494,"Accidentally locking my keys inside my car and being stranded in a parking lot brought frustration and helplessness, reaching a locked-out driver.",25
495,"Losing an important file on my computer due to a technical glitch brought a sinking feeling of loss and frustration, scoring a technical mishap.",32
496,"Forgetting my gym bag and missing a workout session brought frustration and regret, rating a forgetful fitness enthusiast.",29
497,"Spilling coffee on my white shirt before an important meeting brought embarrassment and discomfort, reaching a coffee-soaked professional.",27
498,"Getting caught in a heavy rainstorm without an umbrella left me soaked and feeling miserable, earning a wet.",26
499,"Receiving a rejection email after a job interview brought feelings of disappointment and self-doubt, rating a rejected interviewee.",36
500,"Realizing I left my phone at a friend's house and feeling disconnected brought frustration and anxiety, reaching a phone-less individual.",28
501,"I enjoyed a delicious home-cooked meal",90
502,"Received a compliment that made my day",85
503,"Spent a sunny day at the beach",92
504,"Got a surprise gift from a friend",88
505,"Completed a challenging workout",78
506,"Watched my favorite movie",85
507,"Had a picnic in the park",90
508,"Finished a good book",88
509,"Received a promotion at work",92
510,"Cooked my favorite dish successfully",85
511,"Spent quality time with family",90
512,"Had a relaxing day at home",85
513,"Visited a new place and enjoyed it",88
514,"Achieved a personal goal",92
515,"Received a handwritten letter",85
516,"Saw a beautiful sunset",90
517,"Got a good night's sleep",88
518,"Tried a new hobby and loved it",85
519,"Reunited with an old friend",90
520,"Finished a productive day",88
521,"Enjoyed a cup of coffee in the morning",85
522,"Had a laughter-filled conversation",90
523,"Received positive feedback",88
524,"Solved a challenging puzzle",85
525,"Listened to my favorite music",90
526,"Had a great conversation with a loved one",88
527,"Visited a museum and enjoyed the exhibits",85
528,"Celebrated a special occasion",90
529,"Received a surprise visit from a friend",88
530,"Completed a DIY project successfully",85
531,"Spent time in nature",90
532,"Attended a fun event with friends",88
533,"Received good news",85
534,"Accomplished a work-related task",90
535,"Received a warm hug",88
536,"Had a successful day of shopping",85
537,"Learned something new and exciting",90
538,"Received a thank-you note",88
539,"Had a delicious treat",85
540,"Received a positive review",90
541,"Enjoyed a quiet moment of reflection",88
542,"Received a surprise phone call",85
543,"Had a successful workout session",90
544,"Received a kind gesture from a stranger",88
545,"Spent time with a beloved pet",85
546,"Received a compliment from a colleague",90
547,"Visited a beautiful garden",88
548,"Completed a challenging project",85
549,"Received a thoughtful gift",90
550,"Spent quality time with friends",88
551,"Had a delicious ice cream cone",85
552,"Finished a jigsaw puzzle",90
553,"Received a surprise compliment",88
554,"Spent time in a cozy blanket",85
555,"Watched a funny movie",90
556,"Completed a crossword puzzle",88
557,"Saw a beautiful rainbow",85
558,"Had a fun game night with friends",90
559,"Received positive feedback on a project",88
560,"Spent time in a beautiful garden",85
561,"Enjoyed a warm cup of tea",90
562,"Received a handwritten note of appreciation",88
563,"Spent a day without any stress",85
564,"Had a heartwarming conversation",90
565,"Witnessed a random act of kindness",88
566,"Received a surprise package in the mail",85
567,"Enjoyed a peaceful nap",90
568,"Saw a breathtaking sunrise",88
569,"Received a cheerful greeting",85
570,"Spent time in nature",90
571,"Listened to uplifting music",88
572,"Received a positive message",85
573,"Had a delicious breakfast",90
574,"Spent time reading a good book",88
575,"Received a supportive comment",85
576,"Watched a heartwarming video",90
577,"Completed a creative project",88
578,"Saw a cute animal video",85
579,"Had a relaxing bath",90
580,"Received a surprise visit from a loved one",88
581,"Spent time with family",85
582,"Saw a beautiful flower blooming",90
583,"Received a compliment on my work",88
584,"Spent a day without any worries",85
585,"Enjoyed a delicious home-cooked meal",90
586,"Received a compliment that made my day",88
587,"Spent a sunny day at the beach",85
588,"Got a surprise gift from a friend",90
589,"Completed a challenging workout",88
590,"Watched my favorite movie",85
591,"Had a picnic in the park",90
592,"Finished a good book",88
593,"Received a promotion at work",85
594,"Cooked my favorite dish successfully",90
595,"Spent quality time with family",88
596,"Had a relaxing day at home",85
597,"Visited a new place and enjoyed it",90
598,"Achieved a personal goal",88
599,"Received a handwritten letter",85
600,"Saw a beautiful sunset",90
601,"Had a regular day at work",50
602,"Spent a quiet evening at home",45
603,"Went for a short walk",48
604,"Ate a simple dinner",50
605,"Listened to background music",45
606,"Did some routine chores",48
607,"Had a brief phone call",50
608,"Checked emails",45
609,"Watched a neutral documentary",48
610,"Folded laundry",50
611,"Commuted to work",45
612,"Reviewed a few notes",48
613,"Had a basic lunch",50
614,"Watered the plants",45
615,"Updated a to-do list",48
616,"Read a newspaper",50
617,"Drove to the grocery store",45
618,"Did some light stretching",48
619,"Checked social media briefly",50
620,"Had a standard breakfast",45
621,"Reviewed a document",48
622,"Sorted through mail",50
623,"Attended a short meeting",45
624,"Talked with a colleague briefly",48
625,"Went through routine paperwork",50
626,"Made a grocery list",45
627,"Checked the weather forecast",48
628,"Did some minor cleaning",50
629,"Answered non-urgent emails",45
630,"Did a quick workout",48
631,"Picked up a few groceries",50
632,"Had a regular conversation",45
633,"Sorted through emails",48
634,"Watched a standard TV show",50
635,"Checked in with a friend",45
636,"Reviewed a short report",48
637,"Had a basic dinner",50
638,"Did some light reading",45
639,"Went to a routine appointment",48
640,"Took care of standard household tasks",50
641,"Listened to a casual podcast",45
642,"Had a regular day at the office",48
643,"Sent out routine emails",50
644,"Did some simple home organization",45
645,"Checked social media updates",48
646,"Had a standard cup of coffee",50
647,"Went for a usual walk in the park",45
648,"Reviewed a common schedule",48
649,"Had a quick snack",50
650,"Did some basic data entry",45
651,"Checked the mail",48
652,"Did a brief meditation",50
653,"Went for a short bike ride",45
654,"Listened to a random playlist",48
655,"Reviewed a standard presentation",50
656,"Had a regular phone call",45
657,"Checked the news briefly",48
658,"Did some light gardening",50
659,"Had a standard lunch",45
660,"Reviewed a standard document",48
661,"Went through routine paperwork",50
662,"Checked email notifications",45
663,"Had a basic breakfast",48
664,"Did some basic grocery shopping",50
665,"Watched a typical TV show",45
666,"Reviewed a common agenda",48
667,"Had a routine meeting",50
668,"Checked social media posts",45
669,"Did some standard household cleaning",48
670,"Sent regular text messages",50
671,"Reviewed a standard report",45
672,"Had a basic dinner",48
673,"Listened to a familiar podcast",50
674,"Went through routine emails",45
675,"Did a basic workout routine",48
676,"Checked weather updates",50
677,"Had a standard conversation",45
678,"Did a short mindfulness exercise",48
679,"Had a regular cup of tea",50
680,"Reviewed a routine schedule",45
681,"Did some standard reading",48
682,"Went for a standard walk",50
683,"Had a usual cup of coffee",45
684,"Checked social media feeds",48
685,"Did some basic stretching",50
686,"Had a standard snack",45
687,"Reviewed a common document",48
688,"Checked for updates on a hobby",50
689,"Did a routine household task",45
690,"Sent casual messages",48
691,"Had a basic afternoon",50
692,"Reviewed a standard presentation",45
693,"Went through routine paperwork",48
694,"Checked email notifications",50
695,"Had a basic breakfast",45
696,"Reviewed a common document",48
697,"Checked social media updates",50
698,"Did some basic cleaning",45
699,"Had a routine conversation",48
700,"Sent regular text messages",50
701,"Woke up feeling a bit tired",23
702,"Forgot my lunch at home",28
703,"Spilled coffee on my shirt",25
704,"Missed the bus by a few seconds",30
705,"Received an unexpected bill",35
706,"Stuck in traffic on the way to work",40
707,"Forgot to set the alarm last night",23
708,"Burned my breakfast",28
709,"Realized I left my umbrella at home on a rainy day",25
710,"Misplaced my keys and spent 15 minutes searching",30
711,"Received a parking ticket",35
712,"Bumped into an old acquaintance and had an awkward conversation",40
713,"Had a minor disagreement with a colleague",23
714,"Received criticism on a project",28
715,"Phone battery died during an important call",25
716,"Forgot to buy groceries for dinner",30
717,"Got caught in a sudden downpour without an umbrella",35
718,"Misplaced my glasses and had trouble finding them",40
719,"Woke up with a headache",23
720,"Realized I left my phone at home",28
721,"Tripped over a curb while walking",25
722,"Spent hours looking for misplaced documents",30
723,"Received disappointing news about a favorite show being canceled",35
724,"Had a disagreement with a friend",40
725,"Realized I forgot to charge my laptop overnight",23
726,"Got stuck in a long queue at the grocery store",28
727,"Accidentally deleted an important email",25
728,"Locked myself out of the house",30
729,"Received a lower-than-expected grade on a test",35
730,"Stubbed my toe on the furniture",40
731,"Realized I left my lunch at home",23
732,"Received a parking ticket",28
733,"Lost my way in an unfamiliar neighborhood",25
734,"Spilled coffee on important paperwork",30
735,"Forgot my wallet at home",35
736,"Had a minor fender bender",40
737,"Realized I missed an important deadline",23
738,"Received negative feedback on a project",28
739,"Caught a cold and felt under the weather",25
740,"Missed the bus by seconds",30
741,"Dropped my phone and cracked the screen",35
742,"Realized I forgot to pack lunch for work",40
743,"Received criticism from a supervisor",23
744,"Stuck in a long and unproductive meeting",28
745,"Forgot an important appointment",25
746,"Spent hours on a task only to realize it wasn't necessary",30
747,"Lost a valuable item",35
748,"Had an argument with a family member",40
749,"Realized I left my umbrella on a rainy day",23
750,"Received a disappointing gift",28
751,"I got into an accident.",14
752,"I found a laptop.",68
753,"I don't know what to do.",43
754,"I can't find my pencil.",36
755,"I got fired.",13
756,"Exchanged sweet and affectionate text messages",88
757,"Received a bouquet of red roses on a special occasion",92
758,"Shared a passionate kiss under the stars",85
759,"Received a surprise gift that perfectly captured my preferences",90
760,"Expressed my feelings and received a positive response",88
761,"Celebrated an anniversary with a romantic getaway",92
762,"Received a handcrafted piece of art as a symbol of love",85
763,"Spent a lazy Sunday morning in bed with my partner",90
764,"Received a surprise visit from my significant other",88
765,"Shared a laughter-filled date night with my loved one",85
766,"Received a thoughtful and personalized love note",90
767,"Celebrated Valentine's Day with a perfect blend of surprises",88
768,"Shared a quiet and intimate moment with my partner",85
769,"Received a surprise breakfast in bed from my loved one",92
770,"Spent an entire day just enjoying each other's company",90
771,"Received a handmade gift that showcased thoughtfulness",88
772,"Shared a heartfelt conversation about our future together",92
773,"Received a surprise proposal that left me speechless",90
774,"Spent a weekend getaway exploring new places with my partner",88
775,"Received a surprise delivery of my favorite chocolates",92
776,"Shared a dance under the moonlight with my significant other",85
777,"Received a sweet and unexpected gesture of love",90
778,"Spent an evening stargazing and sharing dreams with my partner",88
779,"Received a personalized playlist with songs that hold special memories",90
780,"Celebrated a random 'just because' moment with my loved one",88
781,"Received a surprise home-cooked dinner from my partner",90
782,"Shared a passionate and heartfelt conversation late into the night",88
783,"Received a surprise weekend retreat planned by my significant other",92
784,"Spent a cozy winter night by the fireplace with my loved one",85
785,"Received a surprise piece of jewelry that perfectly suited my style",92
786,"Celebrated a relationship milestone with a thoughtful gift exchange",88
787,"Spent a day creating memories and capturing moments with my partner",90
788,"Received a surprise delivery of my favorite book from my significant other",88
789,"Shared a beautiful sunrise together, creating a lasting memory",90
790,"Received a handwritten love letter expressing deep emotions",92
791,"Spent a weekend getaway in a charming cabin with my significant other",88
792,"Received a surprise photo album capturing our journey together",90
793,"Celebrated an achievement together with a toast and heartfelt words",88
794,"Spent a rainy day indoors, creating art and memories with my partner",90
795,"Received a surprise serenade from my significant other",92
796,"Shared a spontaneous and adventurous day exploring new places",88
797,"Received a surprise delivery of my favorite flowers",90
798,"Celebrated a quiet and peaceful evening at home with my loved one",88
799,"Spent a day volunteering together, creating a stronger bond",90
800,"Received a surprise piece of art created by my significant other",88
801,"My mom is mad at me.",32
802,"It's my birthday.",85
803,"Are you crazy?",37
804,"I'm looking for a new job.",45
805,"My house is on fire.",5
806,"Did some routine chores", 42
807,"Had a brief phone call", 43
808,"Checked emails", 38
809,"Watched a neutral documentary", 48
810,"Folded laundry", 40
811,"Commuted to work", 45
812,"Reviewed a few notes", 48
813,"Had a basic lunch", 40
814,"Watered the plants", 42
815,"Updated a to-do list", 35
816,"Read a newspaper", 43
817,"Drove to the grocery store", 45
818,"Did some light stretching", 38
819,"Checked social media briefly", 43
820,"Had a standard breakfast", 40
821,"Reviewed a document", 48
822,"Sorted through mail", 42
823,"Attended a short meeting", 45
824,"Talked with a colleague briefly", 38
825,"Went through routine paperwork", 42
826,"Made a grocery list", 40
827,"Checked the weather forecast", 48
828,"Did some minor cleaning", 42
829,"Answered non-urgent emails", 38
830,"Did a quick workout", 48
831,"Picked up a few groceries", 40
832,"Had a regular conversation", 45
833,"Sorted through emails", 38
834,"Watched a standard TV show", 43
835,"Checked in with a friend", 45
836,"Reviewed a short report", 48
837,"Had a basic dinner", 40
838,"Did some light reading", 42
839,"Went to a routine appointment", 45
840,"Took care of standard household tasks", 40
841,"Listened to a casual podcast", 35
842,"Had a regular day at the office", 45
843,"Sent out routine emails", 38
844,"Did some simple home organization", 42
845,"Checked social media updates", 43
846,"Had a standard cup of coffee", 40
847,"Went for a usual walk in the park", 48
848,"Reviewed a common schedule", 42
849,"Had a quick snack", 40
850,"Did some basic data entry", 45
851,"Checked the mail", 38
852,"Did a brief meditation", 40
853,"Went for a short bike ride", 48
854,"Listened to a random playlist", 42
855,"Reviewed a standard presentation", 45
856,"Had a regular phone call", 38
857,"Checked the news briefly", 43
858,"Did some light gardening", 42
859,"Had a standard lunch", 40
860,"Reviewed a standard document", 48
861,"Went through routine paperwork", 42
862,"Checked email notifications", 38
863,"Had a basic breakfast", 40
864,"Did some basic grocery shopping", 42
865,"Watched a typical TV show", 43
866,"Reviewed a common agenda", 48
867,"Had a routine meeting", 42
868,"Checked social media posts", 43
869,"Did some standard household cleaning", 48
870,"Sent regular text messages", 40
871,"Reviewed a standard report", 42
872,"Had a basic dinner", 40
873,"Listened to a familiar podcast", 45
874,"Went through routine emails", 38
875,"Did a basic workout routine", 48
876,"Checked weather updates", 42
877,"Had a standard conversation", 45
878,"Did a short mindfulness exercise", 48
879,"Had a regular cup of tea", 40
880,"Reviewed a routine schedule", 42
881,"Did some standard reading", 48
882,"Went for a standard walk", 42
883,"Had a usual cup of coffee", 40
884,"Checked social media feeds", 43
885,"Did some basic stretching", 42
886,"Had a standard snack", 40
887,"Reviewed a common document", 48
888,"Checked for updates on a hobby", 42
889,"Did a routine household task", 40
890,"Sent casual messages", 38
891,"Had a basic afternoon", 40
892,"Reviewed a standard presentation", 45
893,"Went through routine paperwork", 42
894,"Checked email notifications", 38
895,"Had a basic breakfast", 40
896,"Reviewed a common document", 48
897,"Checked social media updates", 43
898,"Did some basic cleaning", 42
899,"Had a routine conversation", 45
900,"Sent regular text messages", 40
901,"It's raining outside.",47
902,"Someone hacked my account.",22
903,"I lost my money.",26
904,"I ran out of ketchup.",36
905,"I feel sad.",23
906,"My order is late.",36